,Model,Best Threshold,F1 Score,Accuracy,Recall,Precision
0,Logistic Regression,0.3157894736842105,0.7948444233582413,0.9654066666666666,0.7667137027573319,0.8251179971270265
1,Random Forest,0.3157894736842105,0.9999809309509735,0.9999966666666666,0.9999618626291903,1.0
2,XGBClassifier,0.10526315789473684,0.999885587887571,0.99998,0.999885587887571,0.999885587887571
